Iterator Time:10
No.305   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.306   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.307   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.308   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.309   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.310   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.311   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.312   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.313   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.314   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.315   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.316   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.317   Rule:B(l*0.6,w*0.85,y*0.6)
No.318   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.319   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.320   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.321   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.322   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.323   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.324   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.325   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.326   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.327   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.328   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.329   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.330   Rule:B(l*0.6,w*0.85,y*0.6)
No.331   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.332   Length:1.03298   Redius:2.06595   LeafAmount:0   
No.333   Length:1.04989   Redius:2.09977   LeafAmount:0   
No.334   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.335   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.336   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.337   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.338   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.339   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.340   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.341   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.342   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.343   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.344   Rule:B(l*0.6,w*0.85,y*0.6)
No.345   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.346   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.347   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.348   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.349   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.350   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.351   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.352   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.353   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.354   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.355   Rule:B(l*0.6,w*0.85,y*0.6)
No.356   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.357   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.358   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.359   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.360   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.361   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.362   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.363   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.364   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.365   Length:0.507661   Redius:1.01532   LeafAmount:2   
